,X,Y,Z,corr_dim_0.01
600,-0.011935,0.033473,0.022255,105
601,-0.014382,0.024919,0.020474,79
602,-0.015194,0.025969,0.024294,76
603,-0.016259,0.026364,0.020988,81
604,-0.012321,0.026969,0.026675,77
605,-0.0155,0.027394,0.027173,68
606,-0.011155,0.025011,0.02336,89
607,-0.012503,0.023442,0.016751,71
608,-0.008871,0.023963,0.020115,77
609,-0.007395,0.02546,0.023835,99
610,-0.010535,0.034142,0.023304,102
611,0.006881,0.033509,0.017448,110
612,0.008564,0.033665,0.017127,103
613,0.006857,0.034792,0.015896,116
614,-0.009447,0.031245,0.028415,72
615,-0.010663,0.030262,0.029491,67
616,-0.009092,0.030254,0.030219,57
617,-0.017234,0.026989,0.025516,62
618,-0.012505,0.029979,0.02961,60
619,-0.011704,0.031386,0.028033,76
620,-0.008899,0.026529,0.027287,79
621,-0.010497,0.028394,0.029466,62
622,-0.007768,0.031401,0.029231,64
623,-0.009829,0.033626,0.025043,92
624,-0.011707,0.032486,0.024432,102
625,-0.017816,0.027237,0.022964,71
626,0.009187,0.028208,0.015263,128
627,0.009992,0.029763,0.014993,132
628,0.009205,0.028468,0.016722,114
629,-0.01942,0.027256,0.019571,68
630,-0.019792,0.028758,0.02276,63
631,-0.008458,0.022085,0.016492,65
632,-0.01278,0.030802,0.028843,71
633,-0.011728,0.031101,0.025645,94
634,-0.012363,0.030036,0.024198,101
635,-0.013133,0.030964,0.02621,86
636,0.006307,0.03134,0.018394,105
637,0.007948,0.031989,0.017957,109
638,0.005566,0.030689,0.019555,103
639,0.007331,0.030357,0.019194,97
640,-0.005622,0.027228,0.026849,75
641,0.003485,0.034473,0.019142,96
642,0.003512,0.032875,0.019975,95
643,0.000664,0.033299,0.018722,99
644,0.001823,0.032237,0.020646,100
645,-0.008353,0.032633,0.024782,95
646,-0.008283,0.034518,0.023458,92
647,-0.004053,0.031743,0.026228,83
648,-0.002308,0.031718,0.025574,79
649,-0.00374,0.033254,0.025025,86
650,-0.006921,0.029008,0.029389,58
651,-0.005715,0.031881,0.028468,65
652,-0.004908,0.03129,0.02705,76
653,-0.003959,0.030012,0.027175,73
654,-0.005421,0.032064,0.026175,90
655,-0.006092,0.032673,0.023751,101
656,-0.003017,0.033179,0.022554,100
657,-0.007597,0.032525,0.027003,76
658,0.009874,0.032294,0.016303,112
659,0.009507,0.030101,0.017893,104
660,-0.00988,0.031392,0.025865,96
661,-0.013156,0.028821,0.027643,77
662,-0.002792,0.033304,0.019822,102
663,-0.005049,0.033008,0.021118,102
664,-0.003256,0.035334,0.0162,79
665,-0.0029,0.035523,0.014008,78
666,-0.000611,0.032554,0.02125,97
667,0.003995,0.031443,0.021189,85
668,-0.013439,0.030349,0.027812,75
669,0.005217,0.03436,0.01764,111
670,-0.00707,0.033595,0.016789,86
671,-0.002845,0.034044,0.017064,99
672,-0.002091,0.032931,0.024151,86
673,-0.001377,0.031591,0.023242,94
674,-0.002206,0.029959,0.024786,81
675,-0.005961,0.03487,0.01561,81
676,-0.018074,0.029131,0.025613,64
677,-0.013481,0.029526,0.025947,87
678,0.010899,0.031558,0.013879,125
679,-0.018509,0.027969,0.024466,63
680,0.01104,0.029847,0.012494,141
681,0.011762,0.030965,0.01225,134
682,-0.012009,0.031872,0.019786,108
683,0.018074,-0.019532,0.000355,81
684,0.02029,-0.021374,-0.001223,92
685,0.020347,-0.01925,-0.001158,109
686,0.019689,-0.023211,0.001948,70
687,0.019459,-0.023673,0.001955,69
688,0.020497,-0.023673,0.000446,73
689,0.022377,-0.019769,-0.001826,118
690,0.018916,-0.023295,0.004145,52
691,0.019399,-0.020557,0.003617,73
692,0.018975,-0.022162,0.00074,74
693,0.023319,-0.02197,-0.001068,97
694,0.023936,-0.021059,-0.003237,112
695,0.025584,-0.023673,-0.006323,83
696,0.025806,-0.02321,-0.005498,87
697,0.025666,-0.023673,-0.005336,82
698,0.019399,-0.020557,0.003617,73
699,0.019883,-0.018297,0.00211,90
700,0.022385,-0.018393,0.003354,98
701,0.021451,-0.016127,0.002072,107
702,0.02364,-0.013225,0.001447,115
703,0.022775,-0.015655,0.003971,110
